site,province_label,longitude,latitude,amphora_type,stamp_count,log1p_stamp_count,range_start_year,range_end_year
Adria,Italia,12.057778,45.056389,Greco-Itálica,3,1.3862943611198906,-400,-100
Agrigento,Sicilia,13.566667,37.316667,Dressel 1,2,1.0986122886681096,-150,-1
Agrigento,Sicilia,13.566667,37.316667,Greco-Itálica,1,0.6931471805599453,-400,-100
Alba,Italia,8.033333,44.7,Dressel 6B,2,1.0986122886681096,-50,-1
Albinia,Italia,11.25,42.5,Dressel 1,28,3.367295829986474,-150,-1
Albinia,Italia,11.25,42.5,Dressel 1C,129,4.867534450455582,-150,-1
Albinia,Italia,11.25,42.5,Greco-Itálica,13,2.639057329615259,-400,-100
Alghero,Corsica et Sardinia,8.318056,40.558889,Dressel 2-4,1,0.6931471805599453,-30,-1
Altino,Italia,12.393333,45.544444,Brindisian amphora,1,0.6931471805599453,-125,-25
Altino,Italia,12.393333,45.544444,Dressel 2-4,3,1.3862943611198906,-30,-1
Altino,Italia,12.393333,45.544444,Dressel 6A,39,3.6888794541139363,-50,-1
Altino,Italia,12.393333,45.544444,Dressel 6B,43,3.784189633918261,-50,-1
Altino,Italia,12.393333,45.544444,Greco-Itálica,1,0.6931471805599453,-400,-100
Altino,Italia,12.393333,45.544444,Lamboglia 2,5,1.791759469228055,-125,-25
Ancona,Italia,13.5,43.633333,Lamboglia 2,50,3.9318256327243257,-125,-25
Aquileia,Italia,13.368333,45.770278,Brindisian amphora,1,0.6931471805599453,-125,-25
Aquileia,Italia,13.368333,45.770278,Dressel 1B,2,1.0986122886681096,-150,-1
Aquileia,Italia,13.368333,45.770278,Dressel 2-4,1,0.6931471805599453,-30,-1
Aquileia,Italia,13.368333,45.770278,Dressel 6B,1,0.6931471805599453,-50,-1
Aquileia,Italia,13.368333,45.770278,Lamboglia 2,3,1.3862943611198906,-125,-25
Ascoli,Italia,13.566667,42.85,Lamboglia 2,3,1.3862943611198906,-125,-25
Ascoli Satriano,Italia,15.566667,41.2,Lamboglia 2,2,1.0986122886681096,-125,-25
Asolo,Italia,11.9,45.8,Dressel 6B,2,1.0986122886681096,-50,-1
Bari,Italia,16.85,41.133333,Lamboglia 2,2,1.0986122886681096,-125,-25
Barletta,Italia,16.283333,41.316667,Lamboglia 2,2,1.0986122886681096,-125,-25
Biella,Italia,8.05,45.566667,Lamboglia 2,1,0.6931471805599453,-125,-25
Bologna,Italia,11.433333,44.466667,Dressel 6A,1,0.6931471805599453,-50,-1
Bottrighe,Italia,12.086944,45.024444,Greco-Itálica,3,1.3862943611198906,-400,-100
Brindisi,Italia,17.933333,40.633333,Brindisian amphora,2054,7.628031126930335,-125,-25
Brindisi,Italia,17.933333,40.633333,Dressel 2-4,1,0.6931471805599453,-30,-1
Brindisi,Italia,17.933333,40.633333,Lamboglia 2,3,1.3862943611198906,-125,-25
Calderara di Reno,Italia,11.266667,44.566667,Dressel 2-4,1,0.6931471805599453,-30,-1
Calvatone,Italia,10.433333,45.116667,Dressel 6B,2,1.0986122886681096,-50,-1
Calvatone,Italia,10.433333,45.116667,Lamboglia 2,16,2.833213344056216,-125,-25
Canale Giancola,Italia,17.85,40.683333,Brindisian amphora,1864,7.5310163320779155,-125,-25
Canoneghe,Italia,11.916667,45.433333,Dressel 6A,2,1.0986122886681096,-50,-1
Canoneghe,Italia,11.916667,45.433333,Dressel 6B,1,0.6931471805599453,-50,-1
Canosa,Italia,16.066667,41.216667,Brindisian amphora,1,0.6931471805599453,-125,-25
Canosa,Italia,16.066667,41.216667,Dressel 2-4,4,1.6094379124341003,-30,-1
Canosa,Italia,16.066667,41.216667,Dressel 6A,2,1.0986122886681096,-50,-1
Canosa,Italia,16.066667,41.216667,Greco-Itálica,2,1.0986122886681096,-400,-100
Canosa,Italia,16.066667,41.216667,Lamboglia 2,3,1.3862943611198906,-125,-25
Capalbio,Italia,11.416667,42.45,Dressel 1A,2,1.0986122886681096,-150,-1
Capalbio,Italia,11.416667,42.45,Dressel 2-4 Catalan,1,0.6931471805599453,-30,-1
Carlino,Italia,13.188056,45.802222,Dressel 6A,2,1.0986122886681096,-50,-1
Carlino,Italia,13.188056,45.802222,Lamboglia 2,1,0.6931471805599453,-125,-25
Castelfranco Emilia,Italia,11.05,44.616667,Dressel 2-4,1,0.6931471805599453,-30,-1
Castelfranco Emilia,Italia,11.05,44.616667,Lamboglia 2,1,0.6931471805599453,-125,-25
Cattolica Eraclea,Sicilia,13.4,37.433333,Dressel 1,2,1.0986122886681096,-150,-1
Cazzano,Italia,11.5,44.583333,Dressel 2-4,1,0.6931471805599453,-30,-1
Cazzano,Italia,11.5,44.583333,Lamboglia 2,1,0.6931471805599453,-125,-25
Celje,Italia,14.156111,45.591667,Dressel 6B,1,0.6931471805599453,-50,-1
Cerignola,Italia,15.9,41.266667,Lamboglia 2,1,0.6931471805599453,-125,-25
Cesena,Italia,12.249722,44.143333,Dressel 6A,1,0.6931471805599453,-50,-1
Civitavecchia,Italia,11.8,42.1,Dressel 2-4,1,0.6931471805599453,-30,-1
Civitavecchia,Italia,11.8,42.1,Lamboglia 2,1,0.6931471805599453,-125,-25
Classe,Italia,11.983333,44.416667,Dressel 2-4,1,0.6931471805599453,-30,-1
Classe,Italia,11.983333,44.416667,Dressel 6B,1,0.6931471805599453,-50,-1
Concordia,Italia,10.983333,44.916667,Dressel 1C,1,0.6931471805599453,-150,-1
Concordia,Italia,10.983333,44.916667,Dressel 6B,1,0.6931471805599453,-50,-1
Concordia,Italia,10.983333,44.916667,Lamboglia 2,1,0.6931471805599453,-125,-25
Cosa,Italia,12.896389,46.057778,Dressel 1,4,1.6094379124341003,-150,-1
Cosa,Italia,12.896389,46.057778,Dressel 1A,25,3.258096538021482,-150,-1
Cosa,Italia,12.896389,46.057778,Dressel 1B,10,2.3978952727983707,-150,-1
Cosa,Italia,12.896389,46.057778,Dressel 1C,1,0.6931471805599453,-150,-1
Cremona,Italia,10.033333,45.116667,Brindisian amphora,5,1.791759469228055,-125,-25
Cremona,Italia,10.033333,45.116667,Dressel 2-4,3,1.3862943611198906,-30,-1
Cremona,Italia,10.033333,45.116667,Lamboglia 2,31,3.4657359027997265,-125,-25
Domagnano,Italia,12.466667,43.95,Lamboglia 2,1,0.6931471805599453,-125,-25
Due Maestà,Italia,11.0,44.75,Dressel 2-4,1,0.6931471805599453,-30,-1
Due Maestà,Italia,11.0,44.75,Dressel 6A,1,0.6931471805599453,-50,-1
Dugenta,Italia,14.45,41.133333,Dressel 1,1,0.6931471805599453,-150,-1
Dugenta,Italia,14.45,41.133333,Dressel 1A,1,0.6931471805599453,-150,-1
Entella,Italia,9.333333,44.316667,Dressel 1,1,0.6931471805599453,-150,-1
Entella,Italia,9.333333,44.316667,Greco-Itálica,3,1.3862943611198906,-400,-100
Erice,Sicilia,12.583333,38.033333,Dressel 1,8,2.1972245773362196,-150,-1
Erice,Sicilia,12.583333,38.033333,Greco-Itálica,45,3.828641396489095,-400,-100
Este,Italia,11.65,45.233333,Dressel 6A,13,2.639057329615259,-50,-1
Este,Italia,11.65,45.233333,Dressel 6B,20,3.044522437723423,-50,-1
Este,Italia,11.65,45.233333,Lamboglia 2,13,2.639057329615259,-125,-25
