stamp_id,site,province_label,longitude,latitude,amphora_type,stamp_code,chronology_in_default_model,range_start_year,range_end_year
33025,Padova,Italia,11.883333,45.416667,Dressel 6B,LAEK,1,-50,-1
40133,Brindisi,Italia,17.933333,40.633333,Brindisian amphora,DAMA,1,-125,-25
38126,Brindisi,Italia,17.933333,40.633333,Brindisian amphora,VEHILI,1,-125,-25
41090,Brindisi,Italia,17.933333,40.633333,Brindisian amphora,VEHILIANA,1,-125,-25
37504,Canale Giancola,Italia,17.85,40.683333,Brindisian amphora,VISELLI,1,-125,-25
39282,Brindisi,Italia,17.933333,40.633333,Brindisian amphora,APOLLONI,1,-125,-25
40680,Brindisi,Italia,17.933333,40.633333,Brindisian amphora,PILEMO,1,-125,-25
19481,Imperia,Italia,8.05,43.883333,Dressel 2-4 Catalan,CPF,1,-30,-1
36165,Ancona,Italia,13.5,43.633333,Lamboglia 2,CASTRA,1,-125,-25
35937,Canale Giancola,Italia,17.85,40.683333,Brindisian amphora,LMARCISATVR,1,-125,-25
33849,Albinia,Italia,11.25,42.5,Dressel 1C,ARS,1,-150,-1
18605,Îles Lavezzi,Corsica et Sardinia,9.254185,41.341096,Dressel 2-4 Catalan,VIC,1,-30,-1
35541,Canale Giancola,Italia,17.85,40.683333,Brindisian amphora,SCOPAS,1,-125,-25
41016,Brindisi,Italia,17.933333,40.633333,Brindisian amphora,ANINIANA,1,-125,-25
34621,Canale Giancola,Italia,17.85,40.683333,Brindisian amphora,APOLLONID,1,-125,-25
34627,Canale Giancola,Italia,17.85,40.683333,Brindisian amphora,APOLLONID,1,-125,-25
35220,Canale Giancola,Italia,17.85,40.683333,Brindisian amphora,HERMAISCI,1,-125,-25
40300,Brindisi,Italia,17.933333,40.633333,Brindisian amphora,GLAVCI,1,-125,-25
4756,Brindisi,Italia,17.933333,40.633333,Brindisian amphora,COTHPIX,1,-125,-25
34665,Canale Giancola,Italia,17.85,40.683333,Brindisian amphora,APOLLONID,1,-125,-25
35367,Canale Giancola,Italia,17.85,40.683333,Brindisian amphora,LVKAON,1,-125,-25
38008,Brindisi,Italia,17.933333,40.633333,Brindisian amphora,PVEBAL,1,-125,-25
28370,Ostia Antica,Italia,12.283333,41.75,Dressel 20,QIA,0,,
37280,Canale Giancola,Italia,17.85,40.683333,Brindisian amphora,DEMETRI,1,-125,-25
37239,Marciana,Italia,10.166667,42.783333,Amphora incerta,CPC,0,,
40521,Brindisi,Italia,17.933333,40.633333,Brindisian amphora,MENOPILVS,1,-125,-25
