bin_start_year,bin_end_year,site,longitude,latitude,amphora_type,stamp_count,log1p_stamp_count,temporal_probability,weighted_evidence
-400,-375,Adria,12.057778,45.056389,Greco-Itálica,3,1.3862943611198906,0.08333333333333333,0.11552453009332421
-375,-350,Adria,12.057778,45.056389,Greco-Itálica,3,1.3862943611198906,0.08333333333333333,0.11552453009332421
-350,-325,Adria,12.057778,45.056389,Greco-Itálica,3,1.3862943611198906,0.08333333333333333,0.11552453009332421
-325,-300,Adria,12.057778,45.056389,Greco-Itálica,3,1.3862943611198906,0.08333333333333333,0.11552453009332421
-300,-275,Adria,12.057778,45.056389,Greco-Itálica,3,1.3862943611198906,0.08333333333333333,0.11552453009332421
-275,-250,Adria,12.057778,45.056389,Greco-Itálica,3,1.3862943611198906,0.08333333333333333,0.11552453009332421
-250,-225,Adria,12.057778,45.056389,Greco-Itálica,3,1.3862943611198906,0.08333333333333333,0.11552453009332421
-225,-200,Adria,12.057778,45.056389,Greco-Itálica,3,1.3862943611198906,0.08333333333333333,0.11552453009332421
-200,-175,Adria,12.057778,45.056389,Greco-Itálica,3,1.3862943611198906,0.08333333333333333,0.11552453009332421
-175,-150,Adria,12.057778,45.056389,Greco-Itálica,3,1.3862943611198906,0.08333333333333333,0.11552453009332421
-150,-125,Adria,12.057778,45.056389,Greco-Itálica,3,1.3862943611198906,0.08333333333333333,0.11552453009332421
-125,-100,Adria,12.057778,45.056389,Greco-Itálica,3,1.3862943611198906,0.08333333333333333,0.11552453009332421
-150,-125,Agrigento,13.566667,37.316667,Dressel 1,2,1.0986122886681096,0.16666666666666666,0.18310204811135158
-125,-100,Agrigento,13.566667,37.316667,Dressel 1,2,1.0986122886681096,0.16666666666666666,0.18310204811135158
-100,-75,Agrigento,13.566667,37.316667,Dressel 1,2,1.0986122886681096,0.16666666666666666,0.18310204811135158
-75,-50,Agrigento,13.566667,37.316667,Dressel 1,2,1.0986122886681096,0.16666666666666666,0.18310204811135158
-50,-25,Agrigento,13.566667,37.316667,Dressel 1,2,1.0986122886681096,0.16666666666666666,0.18310204811135158
-25,0,Agrigento,13.566667,37.316667,Dressel 1,2,1.0986122886681096,0.16666666666666666,0.18310204811135158
-400,-375,Agrigento,13.566667,37.316667,Greco-Itálica,1,0.6931471805599453,0.08333333333333333,0.057762265046662105
-375,-350,Agrigento,13.566667,37.316667,Greco-Itálica,1,0.6931471805599453,0.08333333333333333,0.057762265046662105
-350,-325,Agrigento,13.566667,37.316667,Greco-Itálica,1,0.6931471805599453,0.08333333333333333,0.057762265046662105
-325,-300,Agrigento,13.566667,37.316667,Greco-Itálica,1,0.6931471805599453,0.08333333333333333,0.057762265046662105
-300,-275,Agrigento,13.566667,37.316667,Greco-Itálica,1,0.6931471805599453,0.08333333333333333,0.057762265046662105
-275,-250,Agrigento,13.566667,37.316667,Greco-Itálica,1,0.6931471805599453,0.08333333333333333,0.057762265046662105
-250,-225,Agrigento,13.566667,37.316667,Greco-Itálica,1,0.6931471805599453,0.08333333333333333,0.057762265046662105
-225,-200,Agrigento,13.566667,37.316667,Greco-Itálica,1,0.6931471805599453,0.08333333333333333,0.057762265046662105
-200,-175,Agrigento,13.566667,37.316667,Greco-Itálica,1,0.6931471805599453,0.08333333333333333,0.057762265046662105
-175,-150,Agrigento,13.566667,37.316667,Greco-Itálica,1,0.6931471805599453,0.08333333333333333,0.057762265046662105
-150,-125,Agrigento,13.566667,37.316667,Greco-Itálica,1,0.6931471805599453,0.08333333333333333,0.057762265046662105
-125,-100,Agrigento,13.566667,37.316667,Greco-Itálica,1,0.6931471805599453,0.08333333333333333,0.057762265046662105
-50,-25,Alba,8.033333,44.7,Dressel 6B,2,1.0986122886681096,0.5,0.5493061443340548
-25,0,Alba,8.033333,44.7,Dressel 6B,2,1.0986122886681096,0.5,0.5493061443340548
-150,-125,Albinia,11.25,42.5,Dressel 1,28,3.367295829986474,0.16666666666666666,0.5612159716644123
-125,-100,Albinia,11.25,42.5,Dressel 1,28,3.367295829986474,0.16666666666666666,0.5612159716644123
-100,-75,Albinia,11.25,42.5,Dressel 1,28,3.367295829986474,0.16666666666666666,0.5612159716644123
-75,-50,Albinia,11.25,42.5,Dressel 1,28,3.367295829986474,0.16666666666666666,0.5612159716644123
-50,-25,Albinia,11.25,42.5,Dressel 1,28,3.367295829986474,0.16666666666666666,0.5612159716644123
-25,0,Albinia,11.25,42.5,Dressel 1,28,3.367295829986474,0.16666666666666666,0.5612159716644123
-150,-125,Albinia,11.25,42.5,Dressel 1C,129,4.867534450455582,0.16666666666666666,0.811255741742597
-125,-100,Albinia,11.25,42.5,Dressel 1C,129,4.867534450455582,0.16666666666666666,0.811255741742597
-100,-75,Albinia,11.25,42.5,Dressel 1C,129,4.867534450455582,0.16666666666666666,0.811255741742597
-75,-50,Albinia,11.25,42.5,Dressel 1C,129,4.867534450455582,0.16666666666666666,0.811255741742597
-50,-25,Albinia,11.25,42.5,Dressel 1C,129,4.867534450455582,0.16666666666666666,0.811255741742597
-25,0,Albinia,11.25,42.5,Dressel 1C,129,4.867534450455582,0.16666666666666666,0.811255741742597
-400,-375,Albinia,11.25,42.5,Greco-Itálica,13,2.639057329615259,0.08333333333333333,0.2199214441346049
-375,-350,Albinia,11.25,42.5,Greco-Itálica,13,2.639057329615259,0.08333333333333333,0.2199214441346049
-350,-325,Albinia,11.25,42.5,Greco-Itálica,13,2.639057329615259,0.08333333333333333,0.2199214441346049
-325,-300,Albinia,11.25,42.5,Greco-Itálica,13,2.639057329615259,0.08333333333333333,0.2199214441346049
-300,-275,Albinia,11.25,42.5,Greco-Itálica,13,2.639057329615259,0.08333333333333333,0.2199214441346049
-275,-250,Albinia,11.25,42.5,Greco-Itálica,13,2.639057329615259,0.08333333333333333,0.2199214441346049
-250,-225,Albinia,11.25,42.5,Greco-Itálica,13,2.639057329615259,0.08333333333333333,0.2199214441346049
-225,-200,Albinia,11.25,42.5,Greco-Itálica,13,2.639057329615259,0.08333333333333333,0.2199214441346049
-200,-175,Albinia,11.25,42.5,Greco-Itálica,13,2.639057329615259,0.08333333333333333,0.2199214441346049
-175,-150,Albinia,11.25,42.5,Greco-Itálica,13,2.639057329615259,0.08333333333333333,0.2199214441346049
-150,-125,Albinia,11.25,42.5,Greco-Itálica,13,2.639057329615259,0.08333333333333333,0.2199214441346049
-125,-100,Albinia,11.25,42.5,Greco-Itálica,13,2.639057329615259,0.08333333333333333,0.2199214441346049
-25,0,Alghero,8.318056,40.558889,Dressel 2-4,1,0.6931471805599453,1.0,0.6931471805599453
-125,-100,Altino,12.393333,45.544444,Brindisian amphora,1,0.6931471805599453,0.25,0.17328679513998632
-100,-75,Altino,12.393333,45.544444,Brindisian amphora,1,0.6931471805599453,0.25,0.17328679513998632
-75,-50,Altino,12.393333,45.544444,Brindisian amphora,1,0.6931471805599453,0.25,0.17328679513998632
-50,-25,Altino,12.393333,45.544444,Brindisian amphora,1,0.6931471805599453,0.25,0.17328679513998632
-25,0,Altino,12.393333,45.544444,Dressel 2-4,3,1.3862943611198906,1.0,1.3862943611198906
-50,-25,Altino,12.393333,45.544444,Dressel 6A,39,3.6888794541139363,0.5,1.8444397270569681
-25,0,Altino,12.393333,45.544444,Dressel 6A,39,3.6888794541139363,0.5,1.8444397270569681
-50,-25,Altino,12.393333,45.544444,Dressel 6B,43,3.784189633918261,0.5,1.8920948169591305
-25,0,Altino,12.393333,45.544444,Dressel 6B,43,3.784189633918261,0.5,1.8920948169591305
-400,-375,Altino,12.393333,45.544444,Greco-Itálica,1,0.6931471805599453,0.08333333333333333,0.057762265046662105
-375,-350,Altino,12.393333,45.544444,Greco-Itálica,1,0.6931471805599453,0.08333333333333333,0.057762265046662105
-350,-325,Altino,12.393333,45.544444,Greco-Itálica,1,0.6931471805599453,0.08333333333333333,0.057762265046662105
-325,-300,Altino,12.393333,45.544444,Greco-Itálica,1,0.6931471805599453,0.08333333333333333,0.057762265046662105
-300,-275,Altino,12.393333,45.544444,Greco-Itálica,1,0.6931471805599453,0.08333333333333333,0.057762265046662105
-275,-250,Altino,12.393333,45.544444,Greco-Itálica,1,0.6931471805599453,0.08333333333333333,0.057762265046662105
-250,-225,Altino,12.393333,45.544444,Greco-Itálica,1,0.6931471805599453,0.08333333333333333,0.057762265046662105
-225,-200,Altino,12.393333,45.544444,Greco-Itálica,1,0.6931471805599453,0.08333333333333333,0.057762265046662105
-200,-175,Altino,12.393333,45.544444,Greco-Itálica,1,0.6931471805599453,0.08333333333333333,0.057762265046662105
-175,-150,Altino,12.393333,45.544444,Greco-Itálica,1,0.6931471805599453,0.08333333333333333,0.057762265046662105
-150,-125,Altino,12.393333,45.544444,Greco-Itálica,1,0.6931471805599453,0.08333333333333333,0.057762265046662105
-125,-100,Altino,12.393333,45.544444,Greco-Itálica,1,0.6931471805599453,0.08333333333333333,0.057762265046662105
