amphora_type,range_start_year,range_end_year,dating_policy,model_role
Greco-Itálica,-400,-100,broad Republican support window,temporal support only; not exact dating of each stamp
Dressel 1,-150,-1,broad late-Republican support window,temporal support only; not exact dating of each stamp
Dressel 1A,-150,-1,broad late-Republican support window,temporal support only; not exact dating of each stamp
Dressel 1B,-150,-1,broad late-Republican support window,temporal support only; not exact dating of each stamp
Dressel 1C,-150,-1,broad late-Republican support window,temporal support only; not exact dating of each stamp
Brindisian amphora,-125,-25,broad late-Republican support window,temporal support only; not exact dating of each stamp
Lamboglia 2,-125,-25,broad late-Republican support window,temporal support only; not exact dating of each stamp
Dressel 6A,-50,-1,conservative overlap with target interval,temporal support only; not exact dating of each stamp
Dressel 6B,-50,-1,conservative overlap with target interval,temporal support only; not exact dating of each stamp
Pascual 1,-50,-1,conservative overlap with target interval,temporal support only; not exact dating of each stamp
Dressel 2-4,-30,-1,conservative overlap with target interval,temporal support only; not exact dating of each stamp
Dressel 2-4 Catalan,-30,-1,conservative overlap with target interval,temporal support only; not exact dating of each stamp
