hoard_id,label,longitude,latitude,closing_year,bin_start_year,bin_end_year,weight
CLV,Calvatone (Italy; CLV),10.44057,45.12697,-27.0,-50,-25,0.48
CLV,Calvatone (Italy; CLV),10.44057,45.12697,-27.0,-25,0,0.52
MIR,Mirabella Imbaccari (Sicily; MIR),14.44605,37.32702,-158.0,-175,-150,0.72
MIR,Mirabella Imbaccari (Sicily; MIR),14.44605,37.32702,-158.0,-150,-125,0.28
TUF,Tufara (Italy; TUF),14.94654,41.48203,-74.0,-100,-75,0.36
TUF,Tufara (Italy; TUF),14.94654,41.48203,-74.0,-75,-50,0.64
MLO,Maleo (Italy; MLO),9.76241,45.16633,-26.0,-50,-25,0.44
MLO,Maleo (Italy; MLO),9.76241,45.16633,-26.0,-25,0,0.56
COD,Monte Codruzzo (Italy; COD),12.24097,44.03042,-80.0,-100,-75,0.6
COD,Monte Codruzzo (Italy; COD),12.24097,44.03042,-80.0,-75,-50,0.4
VAL,San Pietro Vernotico (Valesio) (Italy; VAL),17.99752,40.4889,-41.0,-75,-50,0.04
VAL,San Pietro Vernotico (Valesio) (Italy; VAL),17.99752,40.4889,-41.0,-50,-25,0.96
MNF,Manfria (Sicily; MNF),14.12979,37.10065,-103.0,-125,-100,0.52
MNF,Manfria (Sicily; MNF),14.12979,37.10065,-103.0,-100,-75,0.48
MNP,"Naples, National Museum (Italy; MNP)",14.25049,40.85338,-115.0,-125,-100,1.0
COM,Compito (Italy; COM),10.55,43.8,-55.0,-75,-50,0.6
COM,Compito (Italy; COM),10.55,43.8,-55.0,-50,-25,0.4
MNS,Monselice (Italy; MNS),11.74984,45.239,-46.0,-75,-50,0.24
MNS,Monselice (Italy; MNS),11.74984,45.239,-46.0,-50,-25,0.76
MNT,Montiano (Italy; MNT),12.30455,44.08232,-79.0,-100,-75,0.56
MNT,Montiano (Italy; MNT),12.30455,44.08232,-79.0,-75,-50,0.44
COS,Cosa (Italy; COS),13.31667,41.58333,-74.0,-100,-75,0.36
COS,Cosa (Italy; COS),13.31667,41.58333,-74.0,-75,-50,0.64
CPL,Capalbio (Italy; CPL),11.42175,42.45342,-81.0,-100,-75,0.64
CPL,Capalbio (Italy; CPL),11.42175,42.45342,-81.0,-75,-50,0.36
CPR,Capranica (Italy; CPR),12.17278,42.25849,-82.0,-100,-75,0.68
CPR,Capranica (Italy; CPR),12.17278,42.25849,-82.0,-75,-50,0.32
MOG,Moggio (Italy; MOG),9.48623,45.93239,-31.0,-50,-25,0.64
MOG,Moggio (Italy; MOG),9.48623,45.93239,-31.0,-25,0,0.36
VIG,Vigatto (Italy; VIG),10.33037,44.71999,-27.0,-50,-25,0.48
VIG,Vigatto (Italy; VIG),10.33037,44.71999,-27.0,-25,0,0.52
CR1,Carbonara (Italy; CR1),11.22923,45.03537,-48.0,-75,-50,0.32
CR1,Carbonara (Italy; CR1),11.22923,45.03537,-48.0,-50,-25,0.68
CR2,Carbonara (Italy; CR2),11.22923,45.03537,-36.0,-50,-25,0.84
CR2,Carbonara (Italy; CR2),11.22923,45.03537,-36.0,-25,0,0.16
MOR,Morrovalle (Italy; MOR),13.59535,43.3183,-46.0,-75,-50,0.24
MOR,Morrovalle (Italy; MOR),13.59535,43.3183,-46.0,-50,-25,0.76
MRS,Marsala (Sicily; MRS),12.4367,37.7992,-42.0,-75,-50,0.08
MRS,Marsala (Sicily; MRS),12.4367,37.7992,-42.0,-50,-25,0.92
CRG,Crognaleto (Italy; CRG),13.4889,42.58771,-97.0,-125,-100,0.28
CRG,Crognaleto (Italy; CRG),13.4889,42.58771,-97.0,-100,-75,0.72
CRL,Carlentini (Sicily; CRL),15.0102,37.28071,-74.0,-100,-75,0.36
CRL,Carlentini (Sicily; CRL),15.0102,37.28071,-74.0,-75,-50,0.64
VPT,Villa Potenza (Italy; VPT),13.42649,43.32149,-71.0,-100,-75,0.24
VPT,Villa Potenza (Italy; VPT),13.42649,43.32149,-71.0,-75,-50,0.76
CRO,Crotone (Italy; CRO),17.12764,39.08077,-45.0,-75,-50,0.2
CRO,Crotone (Italy; CRO),17.12764,39.08077,-45.0,-50,-25,0.8
CRP,Carpena (Italy; CRP),12.06429,44.18539,-92.0,-125,-100,0.08
