hoard_id,label,findspot,geonames_uri,closing_year,n_coin_types,country,longitude,latitude,findspot_radius_km,dated
CLV,Calvatone (Italy; CLV),"Calvatone, Italy",https://sws.geonames.org/3181156/,-27.0,176,Italy,10.44057,45.12697,5.0,True
MIR,Mirabella Imbaccari (Sicily; MIR),"Mirabella Imbaccari, Sicily",https://sws.geonames.org/2524135/,-158.0,11,Sicily,14.44605,37.32702,5.0,True
MIS,Case Missiroli (Italy; MIS),"Case Missiroli, Italy",https://sws.geonames.org/3179866/,,0,Italy,14.33231,41.07262,5.0,False
TUF,Tufara (Italy; TUF),"Tufara, Italy",https://sws.geonames.org/6535307/,-74.0,75,Italy,14.94654,41.48203,5.0,True
MLO,Maleo (Italy; MLO),"Maleo, Italy",https://sws.geonames.org/3174183/,-26.0,59,Italy,9.76241,45.16633,5.0,True
COD,Monte Codruzzo (Italy; COD),"Monte Codruzzo, Italy",https://sws.geonames.org/3214760/,-80.0,182,Italy,12.24097,44.03042,5.0,True
VAL,San Pietro Vernotico (Valesio) (Italy; VAL),"San Pietro Vernotico (Valesio), Italy",https://sws.geonames.org/3167811/,-41.0,113,Italy,17.99752,40.4889,5.0,True
MNF,Manfria (Sicily; MNF),"Manfria, Sicily",https://sws.geonames.org/8504685/,-103.0,25,Sicily,14.12979,37.10065,5.0,True
MNP,"Naples, National Museum (Italy; MNP)","Naples, National Museum, Italy",https://sws.geonames.org/7303972/,-115.0,25,Italy,14.25049,40.85338,5.0,True
COM,Compito (Italy; COM),"Compito, Italy",https://sws.geonames.org/3167483/,-55.0,213,Italy,10.55,43.8,5.0,True
CON,Concordia (Italy; CON),"Concordia, Italy",https://sws.geonames.org/3178203/,,0,Italy,12.82362,45.76118,5.0,False
MNS,Monselice (Italy; MNS),"Monselice, Italy",https://sws.geonames.org/3173124/,-46.0,4,Italy,11.74984,45.239,5.0,True
VEL,Velia (Italy; VEL),"Velia, Italy",https://sws.geonames.org/3164641/,,0,Italy,15.15594,40.16061,5.0,False
MNT,Montiano (Italy; MNT),"Montiano, Italy",https://sws.geonames.org/3172700/,-79.0,45,Italy,12.30455,44.08232,5.0,True
VEN,Hoard in Venice (Italy; VEN),"Venice, Italy",https://sws.geonames.org/3164603/,,0,Italy,12.33265,45.43713,5.0,False
COS,Cosa (Italy; COS),"Cosa, Italy",https://sws.geonames.org/3177934/,-74.0,264,Italy,13.31667,41.58333,5.0,True
VER,Vergnacco (Italy; VER),"Vergnacco, Italy",https://sws.geonames.org/8504684/,,0,Italy,13.24368,46.15915,5.0,False
MOD,Modena (Italy; MOD),"Modena, Italy",https://sws.geonames.org/3173331/,,0,Italy,10.92539,44.64783,5.0,False
CPL,Capalbio (Italy; CPL),"Capalbio, Italy",https://sws.geonames.org/3180743/,-81.0,44,Italy,11.42175,42.45342,5.0,True
CPR,Capranica (Italy; CPR),"Capranica, Italy",https://sws.geonames.org/3180644/,-82.0,24,Italy,12.17278,42.25849,5.0,True
MOG,Moggio (Italy; MOG),"Moggio, Italy",https://sws.geonames.org/3173320/,-31.0,47,Italy,9.48623,45.93239,5.0,True
VIG,Vigatto (Italy; VIG),"Vigatto, Italy",https://sws.geonames.org/3164380/,-27.0,273,Italy,10.33037,44.71999,5.0,True
CPS,Capestrano (Italy; CPS),"Capestrano, Italy",https://sws.geonames.org/3180720/,,0,Italy,13.76779,42.26807,5.0,False
CR1,Carbonara (Italy; CR1),"Carbonara, Italy",https://sws.geonames.org/3180570/,-48.0,179,Italy,11.22923,45.03537,5.0,True
CR2,Carbonara (Italy; CR2),"Carbonara, Italy",https://sws.geonames.org/3180570/,-36.0,376,Italy,11.22923,45.03537,5.0,True
MOR,Morrovalle (Italy; MOR),"Morrovalle, Italy",https://sws.geonames.org/3172564/,-46.0,95,Italy,13.59535,43.3183,5.0,True
CRA,Carrara (Italy; CRA),"Carrara, Italy",https://sws.geonames.org/3180423/,,0,Italy,10.09789,44.07926,5.0,False
MRS,Marsala (Sicily; MRS),"Marsala, Sicily",https://sws.geonames.org/2524245/,-42.0,10,Sicily,12.4367,37.7992,5.0,True
CRG,Crognaleto (Italy; CRG),"Crognaleto, Italy",https://sws.geonames.org/3177759/,-97.0,81,Italy,13.4889,42.58771,5.0,True
CRL,Carlentini (Sicily; CRL),"Carlentini, Sicily",https://sws.geonames.org/2525349/,-74.0,17,Sicily,15.0102,37.28071,5.0,True
VPT,Villa Potenza (Italy; VPT),"Villa Potenza, Italy",https://sws.geonames.org/3164162/,-71.0,161,Italy,13.42649,43.32149,5.0,True
MTD,Montedoro (Italy; MTD),"Montedoro, Italy",https://sws.geonames.org/2524071/,,0,Italy,13.81684,37.45431,5.0,False
CRO,Crotone (Italy; CRO),"Crotone, Italy",https://sws.geonames.org/2524881/,-45.0,65,Italy,17.12764,39.08077,5.0,True
MTL,Montella (Italy; MTL),"Montella, Italy",https://sws.geonames.org/6535638/,,0,Italy,15.01785,40.84372,5.0,False
VRO,Veroli (Italy; VRO),"Veroli, Italy",https://sws.geonames.org/3164528/,,0,Italy,13.41664,41.69433,5.0,False
CRP,Carpena (Italy; CRP),"Carpena, Italy",https://sws.geonames.org/3214817/,-92.0,32,Italy,12.06429,44.18539,5.0,True
CRR,Cerriolo (Italy; CRR),"Cerriolo, Italy",https://sws.geonames.org/3179074/,-26.0,31,Italy,7.69953,44.48498,5.0,True
MTR,Cergnago (Mortara) (Italy; MTR),"Cergnago (Mortara), Italy",https://sws.geonames.org/3179082/,-74.0,170,Italy,8.77164,45.19826,5.0,True
CRV,Corvaro (Italy; CRV),"Corvaro, Italy",https://sws.geonames.org/3177941/,-79.0,12,Italy,13.26496,42.20538,5.0,True
CSA,Citta Sant'Angelo (Italy; CSA),"Citta Sant'Angelo, Italy",https://sws.geonames.org/3178613/,,0,Italy,14.06203,42.51254,5.0,False
ZAR,Zara (Italy; ZAR),"Zara, Italy",https://sws.geonames.org/6486176/,-18.0,177,Italy,14.26913,40.85394,5.0,True
NAP,Naples (Italy; NAP),"Naples, Italy",https://sws.geonames.org/3172394/,-107.0,7,Italy,14.26811,40.85216,5.0,True
CSN,Cerreto Sannita (Italy; CSN),"Cerreto Sannita, Italy",https://sws.geonames.org/3179033/,-134.0,17,Italy,14.56147,41.28296,5.0,True
CSR,Caserta (Italy; CSR),"Caserta, Italy",https://sws.geonames.org/3179866/,,45,Italy,14.33231,41.07262,5.0,False
