bin_start_year,bin_end_year,longitude,latitude,E_mean,E_sd,settlement_field,exchange_field,connectivity_field,production_field,is_land,dist_coast_km,in_support
-700,-675,6.5,35.5,-0.3199,0.5901,-0.2671,-0.8446,-0.322,-0.1176,False,411.3,False
-700,-675,6.75,35.5,-0.343,0.6297,-0.2876,-0.9074,-0.3421,-0.1285,False,402.9,False
-700,-675,7.0,35.5,-0.3618,0.6536,-0.3046,-0.9591,-0.3574,-0.1383,False,395.5,False
-700,-675,7.25,35.5,-0.3761,0.6673,-0.318,-0.9994,-0.3679,-0.1468,False,389.0,False
-700,-675,7.5,35.5,-0.3864,0.676,-0.328,-1.0291,-0.3738,-0.1542,False,383.5,False
-700,-675,7.75,35.5,-0.393,0.6834,-0.3352,-1.0495,-0.3757,-0.1607,False,379.1,False
-700,-675,8.0,35.5,-0.3969,0.691,-0.34,-1.0627,-0.3746,-0.1664,False,375.7,False
-700,-675,8.25,35.5,-0.399,0.6981,-0.3434,-1.0715,-0.3717,-0.1717,False,373.4,False
-700,-675,8.5,35.5,-0.4006,0.7032,-0.3464,-1.0791,-0.3684,-0.1771,False,372.2,False
-700,-675,8.75,35.5,-0.4032,0.7051,-0.35,-1.0893,-0.3663,-0.1828,False,372.1,False
-700,-675,9.0,35.5,-0.4083,0.7035,-0.3554,-1.1057,-0.3672,-0.1894,False,373.1,False
-700,-675,9.25,35.5,-0.417,0.6994,-0.3635,-1.1318,-0.3725,-0.1973,False,359.1,False
-700,-675,9.5,35.5,-0.4307,0.6942,-0.3754,-1.1707,-0.3836,-0.2066,False,344.1,False
-700,-675,9.75,35.5,-0.45,0.6893,-0.3916,-1.2243,-0.4015,-0.2178,False,329.6,False
-700,-675,10.0,35.5,-0.4755,0.6851,-0.4123,-1.2937,-0.4267,-0.2308,False,315.8,False
-700,-675,10.25,35.5,-0.507,0.6807,-0.4374,-1.3787,-0.4593,-0.2456,False,302.2,False
-700,-675,10.5,35.5,-0.5438,0.6746,-0.4663,-1.4777,-0.4987,-0.2621,False,289.2,False
-700,-675,10.75,35.5,-0.5849,0.6652,-0.4981,-1.5876,-0.5437,-0.2797,False,277.1,False
-700,-675,11.0,35.5,-0.6287,0.6521,-0.5314,-1.7046,-0.5928,-0.2981,False,266.0,False
