pleiades_id,title,longitude,latitude,location_precision,feature_types,time_periods,sources,in_window_bins
48210385,Borgo Medievale,13.4119837,42.082885,precise,settlement,mediaeval-byzantine,pleiades_settlement,0.0
305023,Ad Rubras?,7.157147,36.092899,precise,station,"roman,late-antique",pleiades_transport,0.055
305030,Aquae Thibilitanae,7.270135,36.459865,precise,"settlement, settlement-modern","roman,late-antique",pleiades_settlement,0.055
305032,*Astora?,6.878282,36.9038465,precise,settlement,"hellenistic-republican,roman,late-antique",pleiades_settlement,7.2
305033,Asuccuris?,7.518478,36.608739,precise,settlement,"roman,late-antique",pleiades_settlement,0.055
305034,Azimacia,6.60429750352,36.3920235308,precise,settlement,roman,pleiades_settlement,0.102
305039,Calama,7.427677,36.4643305,precise,settlement,"hellenistic-republican,roman,late-antique",pleiades_settlement,7.2
305048,Castellum Fabatianum?,6.832552,36.283833,precise,settlement,"roman,late-antique",pleiades_settlement,0.055
305053,Castellum Subzuaritanum,6.516829,36.233093,precise,settlement,"roman,late-antique",pleiades_settlement,0.055
305058,Celtianis,6.588689,36.838344,precise,settlement,"roman,late-antique",pleiades_settlement,0.055
305063,Chullu,6.562081,37.0078525,precise,settlement,"hellenistic-republican,roman,late-antique,twentieth-ce",pleiades_settlement,7.2
305064,Cirta/Constantina,6.61330266667,36.3681146667,precise,settlement,"hellenistic-republican,roman,late-antique",pleiades_settlement,7.2
993452096,Ghar El Kebir Quarries,10.9961232,37.0595979,precise,quarry,roman,pleiades_production,0.102
776367157,Roman villa at Anagnina Metro station ,12.5872779,41.8432658,precise,"villa, archaeological-site",roman,pleiades_production,0.102
637350139,Colle Oliva,12.6274873976,41.7960055501,precise,villa,"hellenistic-republican,roman",pleiades_production,7.145
998907993,Boville Ernica,13.466667,41.65,precise,settlement,"archaic,classical,hellenistic-republican,roman,late-antique,modern",pleiades_settlement,25.75
262148219,Piana di Monte Verna,14.319641339,41.1849709375,precise,"fortified-settlement, settlement, archaeological-site, settlement-modern","hellenistic-republican,roman,modern",pleiades_settlement,7.145
367530812,Monte Nuxi,9.3079687,39.7610764,precise,"spring, settlement",2nd-millenium-bce,pleiades_settlement,0.0
388120836,Villa of Caius Olius Ampliatus,14.3449071916,40.8472057403,precise,villa,"roman,twentieth-ce,twenty-first-ce",pleiades_production,0.102
12364847,Isole della Marmorata,9.23818293039,41.2536135617,precise,"archipelago, island, quarry","modern,twenty-first-ce",pleiades_production,0.0
227716874,Poggio Civitella,11.4827337232,43.0352642091,precise,fortified-settlement,"twentieth-ce,twenty-first-ce",pleiades_settlement,0.0
491524938,Cannatello,13.6173889297,37.2570399335,precise,settlement,"2nd-millenium-bce,modern",pleiades_settlement,0.0
546680198,Henchir Hnich,9.10115316148,36.3478400418,precise,"settlement, archaeological-site","roman,twenty-first-ce",pleiades_settlement,0.102
176421766,Ponte di Pratolungo,12.5937252288,41.9328047919,precise,"bridge, archaeological-site",hellenistic-republican,pleiades_transport,4.0
364873309,Geridu,8.57348110251,40.7806000574,precise,"settlement, archaeological-site","twentieth-ce,twenty-first-ce",pleiades_settlement,0.0
119022475,Potter's workshop,14.4794174,40.7526867,precise,production,roman,pleiades_production,0.102
640651840,Casale Ciuffa,12.7553665833,41.8347038794,precise,"villa, settlement-modern",twenty-first-ce,pleiades_production,0.0
135082913,Unnamed Roman bridge,13.6829694572,41.6701659951,precise,bridge,roman,pleiades_transport,0.102
663875862,San Giuliano Roman bridge,13.7989589,41.6336248,precise,bridge,roman,pleiades_transport,0.102
267702571,Clivus Scauri,12.4912209346,41.8863923292,precise,road,"roman-early-empire-late-antique,modern",pleiades_transport,0.052
714400874,Colle S. Lucia-Maceralonga (Castelnuovo Parano),13.7553846,41.3788737,precise,"settlement, settlement-modern",modern,pleiades_settlement,0.0
572637979,Mandra Castellone,14.1310175,41.4902367,precise,settlement,"hellenistic-republican,roman,twenty-first-ce",pleiades_settlement,7.145
52863698,Villa Romana di Boscorotto ,14.3892132812,41.0017570209,precise,villa,roman,pleiades_production,0.102
547266548,Roman Bridge (Auletta),15.3816844812,40.5710452228,precise,bridge,roman,pleiades_transport,0.102
157798,Ad Horrea,6.956062,43.549999,precise,station,"roman,late-antique",pleiades_transport,0.055
