port_id,name,modern_name,country_region,longitude,latitude,foundation_year,dated_for_model,culture_flags,infrastructure_count,pleiades,dare,trismegistos,topostext
752,Sardinia,"Isle of Sardinia, Sardaigne ",Italy Sardinia,9.111677,40.307796,,0,,0,https://pleiades.stoa.org/places/472014,,https://www.trismegistos.org/place/3310,https://topostext.org/place/402920ISar
753,"Olbia, Roman port","Olbia, Porto Romano",Italy Sardinia,9.5031,40.9275,-330,1,Ro,4,http://pleiades.stoa.org/places/471987,http://imperium.ahlfeldt.se/places/16889,https://www.trismegistos.org/place/22167,https://topostext.org/place/409095UOlb
753.1,"Olbia, Punic port and Roman port","Olbia, near Molo Vecchio and Molo Brin",Italy Sardinia,9.5057,40.9232,-750,1,Pn|Gr|Ro,2,http://pleiades.stoa.org/places/471987,http://imperium.ahlfeldt.se/places/16889,https://www.trismegistos.org/place/22167,https://topostext.org/place/409095UOlb
754,Coclearia ,near San Teodoro,Italy Sardinia,9.675812,40.784988,-30,1,Ro,1,http://pleiades.stoa.org/places/471906,http://imperium.ahlfeldt.se/places/30261,,
755,"Pheronia, Feronia ",Posada,Italy Sardinia,9.722893,40.639368,-30,1,Ro,0,http://pleiades.stoa.org/places/471995,http://imperium.ahlfeldt.se/places/32836,,
756,Portus Liguidonis,San Giovanni di Posada,Italy Sardinia,9.751357,40.616236,-30,1,Ro,0,http://pleiades.stoa.org/places/471999,http://imperium.ahlfeldt.se/places/32838,,
756.1,Outlet of R Kaidris,"Orosei, with several Nuraghe, on R Cedrino",Italy Sardinia,9.734,40.373,-1500,1,Ro,0,https://pleiades.stoa.org/places/471956,,,
757,"Sulcis, Sulpicius, Supicius ","Arbatax, near Tortoli",Italy Sardinia,9.706108,39.912462,-330,1,Ro,0,http://pleiades.stoa.org/places/472025,http://imperium.ahlfeldt.se/places/32839,,
758,Custodia Rubriensis ,Roman fort near Bari Sardo,Italy Sardinia,9.686434,39.833966,-30,1,Ro,1,http://pleiades.stoa.org/places/471911,http://imperium.ahlfeldt.se/places/36277,,
759,Saralapis ,"San Giovanni di Saralat, Foxi Manna",Italy Sardinia,9.664134,39.694379,,0,Pn|Ro,1,,,,
760,Saralapis ,"San Giovanni di Saralat, Foxi Murdegu",Italy Sardinia,9.657261,39.66651,,0,Pn|Ro,1,,,,
761,"Sarcapos, Sarpach, on R Saipros","Santa Maria di Villaputzu, near Muravera, on R Flumendosa",Italy Sardinia,9.631611,39.425626,-30,1,Pn|Ro,0,http://pleiades.stoa.org/places/472012,http://imperium.ahlfeldt.se/places/36478,,
762,Caralitanum Prom.,"Capo Carbonara, Stagno di Notteri",Italy Sardinia,9.516373,39.11649,-330,1,Pn|Ro,1,http://pleiades.stoa.org/places/471900,http://imperium.ahlfeldt.se/places/41659,,
763,Cuccureddus,Cuccureddus,Italy Sardinia,9.4909,39.1359,,0,Pn|Ro,0,,http://imperium.ahlfeldt.se/places/41656,,
764,,Roman villa at Quartu Sant'Elena,Italy Sardinia,9.27361,39.21267,-30,1,Ro,1,http://pleiades.stoa.org/places/472001,http://imperium.ahlfeldt.se/places/35719,,
765,"Caralis, Carales, on R Sulcis","Cagliari, Roman naval base, on R Cixerri",Italy Sardinia,9.112387,39.211683,-750,1,Pn|Gr|Ro,2,http://pleiades.stoa.org/places/471899,http://imperium.ahlfeldt.se/places/16177,https://www.trismegistos.org/place/3239,https://topostext.org/place/392091UKar
766,,"Roman villa di Tigellio, Cagliari",Italy Sardinia,9.10834,39.22054,-30,1,Ro,1,,http://imperium.ahlfeldt.se/places/41650,,
766.1,,Nuraghe Antigori,Italy Sardinia,9.005325,39.095552,-1500,1,My,0,,,,
766.2,,"Su Leunaxi, near Nuraghe Sa Domu ‘e s’Orcu and Motti, in Monte Arrubiu area",Italy Sardinia,9.0236,39.0619,-1500,1,My,0,,,,
766.3,,Quarry at Perd’e Sali,Italy Sardinia,9.0253,39.0219,,0,,2,,,,
767,Nora ,"Capo di Pula, Creek of San Efisio",Italy Sardinia,9.01444,38.987048,-750,1,Pn|Gr|Ro,2,http://pleiades.stoa.org/places/471979,http://imperium.ahlfeldt.se/places/22707,https://www.trismegistos.org/place/22201,https://topostext.org/place/390090UNor
768,Nora ,"Capo di Pula, Cala di Nora, with Molo Schmiedt",Italy Sardinia,9.012555,38.984715,-750,1,Pn|Gr|Ro,3,http://pleiades.stoa.org/places/471979,http://imperium.ahlfeldt.se/places/22707,,https://topostext.org/place/390090UNor
769,Nora ,"Lagoon of San Efisio, north of Is Fradis Minoris peninsula",Italy Sardinia,9.012066,38.988036,-750,1,Pn|Gr|Ro,1,http://pleiades.stoa.org/places/471979,http://imperium.ahlfeldt.se/places/22707,https://www.trismegistos.org/place/22201,https://topostext.org/place/390090UNor
769.1,"Littus anneum, Aigialos Proseches?",Porto d'Agumu,Italy Sardinia,8.9971,38.9843,-30,1,Ro,0,https://pleiades.stoa.org/places/474900,,,
770,"Bitia, Bithia, Bioea ","Punta di Chia, near Domus de Maria",Italy Sardinia,8.8849,38.8956,-750,1,Pn|Gr|Ro,0,http://pleiades.stoa.org/places/471894,http://imperium.ahlfeldt.se/places/36274,https://www.trismegistos.org/place/22117,https://topostext.org/place/389089UBit
771,"Portus Herculis, Herakleous Limen, Melqart",Porto Malfatano,Italy Sardinia,8.803097,38.898734,,0,Pn|Ro,2,http://pleiades.stoa.org/places/471942,,,
772,"Portus Herculis, Herakleous Limen, Melqart","Porto Malfatano, submerged breakwater on NE side of Capo Malfatano",Italy Sardinia,8.803355,38.887868,,0,Ro,2,http://pleiades.stoa.org/places/471942,,,
772.1,,Quarry at Piscinni,Italy Sardinia,8.7779,38.9083,-30,1,Ro,1,,,,
773,"Port of Tegulitia, Tegula ",Porto Teulada,Italy Sardinia,8.7236,38.9347,-30,1,Pn|Ro,1,http://pleiades.stoa.org/places/472029,http://imperium.ahlfeldt.se/places/32840,,
774,Sulcitanus Portus ,"bay of Porto Pino, quarry of Guardia s'Arena",Italy Sardinia,8.614564,38.932988,,0,Pn|Ro,3,,,,
775,Sulcitanus Portus ,"Porto Pino, access canal to the lagoon of Baiocca",Italy Sardinia,8.602078,38.963151,,0,Pn|Ro,1,,,,
776,Sulcitanus Portus ,South end of the lagoon of Baiocca,Italy Sardinia,8.593479,39.011823,,0,Pn|Ro,2,,,,
776.1,,"Maladroxia, on R Corruppus, in Golfo di Palmas",Italy Sardinia,8.4494,38.9983,,0,Li|Ro,0,,,,
777,Sulcitanus Portus ,Golfo di Palmas,Italy Sardinia,8.461377,39.048305,,0,Ro,1,,,,
778,"Sulcis, Solci (export of copper?)",San Antioco,Italy Sardinia,8.462004,39.06534,-750,1,Pn|Gr|Ro,3,http://pleiades.stoa.org/places/472024,http://imperium.ahlfeldt.se/places/16886,https://www.trismegistos.org/place/22208,https://topostext.org/place/391084USul
779,Enosis insula,"Carloforte, on the isle of San Pietro",Italy Sardinia,8.321367,39.140566,-30,1,Pn|Ro,1,http://pleiades.stoa.org/places/471917,http://imperium.ahlfeldt.se/places/41297,,
780,,"Monte Sirai, with Neolithic settlement",Italy Sardinia,8.4887,39.1774,-750,1,Li|Pn|Gr|Ro,0,http://pleiades.stoa.org/places/471974,http://imperium.ahlfeldt.se/places/32831,,
781,Metalla? ,"Temple of Antas, near Fluminimaggiore, Iglesiente mining area with possible export at Portixeddu",Italy Sardinia,8.5002,39.394,-500,1,Pn|Gr|Ro,1,https://pleiades.stoa.org/places/471971,,,
781.1,,"S’Omu e S’Orku (SOMK), Portu Maga, Mesolithic settlement",Italy Sardinia,8.4601,39.5681,-7000,1,Li,0,,,,
782,"Neapolis, Punic Qart Hadasht, on R Hieros (?)","Santa Maria di Nabui, on R Pabillonis",Italy Sardinia,8.5555,39.68794,,0,Pn|Ro,2,http://pleiades.stoa.org/places/471977,http://imperium.ahlfeldt.se/places/41635,https://www.trismegistos.org/place/22118,https://topostext.org/place/397086UNea
782.1,,"Roman villa at Stagno di Marceddi, S. Angiarxia, Arbus",Italy Sardinia,8.4946,39.7145,-30,1,Ro,1,http://pleiades.stoa.org/places/472005,http://imperium.ahlfeldt.se/places/35720,,
783,,Roman villa at Pauli Putzu,Italy Sardinia,8.60514,39.72744,-330,1,Ro,1,http://pleiades.stoa.org/places/471994,http://imperium.ahlfeldt.se/places/35717,,
784,,Roman villa at Muru de Bangiu,Italy Sardinia,8.6645,39.78592,-30,1,Ro,1,http://pleiades.stoa.org/places/471954,http://imperium.ahlfeldt.se/places/35386,,
785,,"Roman villa at Sant'Ungroni, near Arborea",Italy Sardinia,8.5822,39.7945,-30,1,Ro,1,http://pleiades.stoa.org/places/472009,http://imperium.ahlfeldt.se/places/35722,,
786,"Othaia, Othoca, on R Thyrsos","Santa Giusta, near Oristano, on R Tirso",Italy Sardinia,8.60849,39.86957,-750,1,Pn|Gr|Ro,0,http://pleiades.stoa.org/places/471988,http://imperium.ahlfeldt.se/places/32834,,
786.1,,Cuccuru is Arrius Neolithic settlement,Italy Sardinia,8.495,39.925,-4500,1,Li,0,,,,
787,"Tarrai, Tharros, Tarrhos, Punic port","San Giovanni di Sinis, Stagno di Mistras",Italy Sardinia,8.44,39.892,-750,1,Pn|Gr|Ro,2,http://pleiades.stoa.org/places/472032,http://imperium.ahlfeldt.se/places/22706,https://www.trismegistos.org/place/22215,https://topostext.org/place/399084UTar
787.1,"Tarrai, Tharros, Tarrhos, possible Nuragic port","San Giovanni di Sinis, Porto Vecchio possibly near present car park, near Nuragic settlement of Su Murru Mannu",Italy Sardinia,8.4416,39.8789,-1500,1,My|Pn|Ro,2,http://pleiades.stoa.org/places/472032,http://imperium.ahlfeldt.se/places/22706,https://www.trismegistos.org/place/22215,https://topostext.org/place/399084UTar
788,"Tarrai, Tharros, Tarrhos","San Giovanni di Sinis, La Caletta, near Capo San Marco",Italy Sardinia,8.437959,39.859288,-750,1,Pn|Gr|Ro,1,http://pleiades.stoa.org/places/472032,http://imperium.ahlfeldt.se/places/22706,https://www.trismegistos.org/place/22215,https://topostext.org/place/399084UTar
788.1,,Portu Suedda,Italy Sardinia,8.3936,39.9725,-1200,1,Pn,0,,,,
788.2,,Isola di Mal di Ventre,Italy Sardinia,8.3066,39.988,-1200,1,Pn,0,,,,
789,"Coracodes, Korakodes portus","Cala di Su Pallosu, with isolotto di Sa Tonnara",Italy Sardinia,8.409895,40.043873,-1200,1,Pn|Ro,1,http://pleiades.stoa.org/places/474927,,,
790,"Cornus, Kornos",S’Archittu,Italy Sardinia,8.490364,40.087832,-330,1,Pn|Ro,0,http://pleiades.stoa.org/places/471907,http://imperium.ahlfeldt.se/places/30262,https://www.trismegistos.org/place/22120,https://topostext.org/place/401085UCor
791,"Bosa, on R Temos","Bosa Marina, at outlet of R Temo",Italy Sardinia,8.469417,40.284535,-330,1,Pn|Ro,0,http://pleiades.stoa.org/places/471895,http://imperium.ahlfeldt.se/places/30259,https://www.trismegistos.org/place/22102,
792,"Carbia, Garbia ",Alghero,Italy Sardinia,8.306281,40.569916,-30,1,Ro,0,http://pleiades.stoa.org/places/471901,http://imperium.ahlfeldt.se/places/36276,,
793,Nymphaeus portus ,"Roman villa at Sant'Imbenia, Porto Conte, Grotta Verde, Capo Caccia",Italy Sardinia,8.189645,40.616568,-750,1,Li|Pn|Gr|Ro,1,http://pleiades.stoa.org/places/471985,http://imperium.ahlfeldt.se/places/35723,,https://topostext.org/place/406082HNym
794,Nure ,Porto Ferro,Italy Sardinia,8.19785,40.682966,-30,1,Ro,0,http://pleiades.stoa.org/places/471982,http://imperium.ahlfeldt.se/places/36477,,
795,,Stintino,Italy Sardinia,8.225224,40.938117,,0,,0,,,,
796,"Turris Libyssonis, Libisonis","Porto Torres, outlet of R Mannu",Italy Sardinia,8.3918,40.8368,-330,1,Ro,2,http://pleiades.stoa.org/places/472035,http://imperium.ahlfeldt.se/places/16888,https://www.trismegistos.org/place/22086,https://topostext.org/place/408084UPLi
796.1,"Turris Libyssonis, Libisonis","Porto Torres, north-south Molo di Ponente 2009 & 2012",Italy Sardinia,8.3941,40.8391,-330,1,Ro,2,http://pleiades.stoa.org/places/472035,http://imperium.ahlfeldt.se/places/16888,https://www.trismegistos.org/place/22086,https://topostext.org/place/408084UPLi
796.2,"Turris Libyssonis, Libisonis","Porto Torres, Piazza di Colombo",Italy Sardinia,8.4016,40.8392,-330,1,Ro,4,http://pleiades.stoa.org/places/472035,http://imperium.ahlfeldt.se/places/16888,https://www.trismegistos.org/place/22086,https://topostext.org/place/408084UPLi
796.3,"Turris Libyssonis, Libisonis","Porto Torres, quarry at Scoglio Lungo",Italy Sardinia,8.4089,40.8389,-330,1,Ro,1,http://pleiades.stoa.org/places/472035,http://imperium.ahlfeldt.se/places/16888,https://www.trismegistos.org/place/22086,https://topostext.org/place/408084UPLi
797,,"Roman villa at Santa Filitica, near Sorso",Italy Sardinia,8.62901,40.87198,-30,1,Ro,1,http://pleiades.stoa.org/places/472022,http://imperium.ahlfeldt.se/places/35725,,
798,,"Roman villa at Lu Bagnu, near Castelsardo",Italy Sardinia,8.68912,40.90308,-30,1,Ro,1,,http://imperium.ahlfeldt.se/places/41884,,
799,Portus Tibulae ,Castelsardo,Italy Sardinia,8.706077,40.916939,-30,1,Ro,0,http://pleiades.stoa.org/places/471902,http://imperium.ahlfeldt.se/places/30260,,
800,Viniolae,"porto di Vignola, near Aglientu",Italy Sardinia,9.060096,41.129461,-30,1,Ro,0,http://pleiades.stoa.org/places/472044,http://imperium.ahlfeldt.se/places/36482,,
801,,Spiagge delle Colone on Capo Testa,Italy Sardinia,9.1609,41.2404,-330,1,Ro,3,http://pleiades.stoa.org/places/473387,http://imperium.ahlfeldt.se/places/38059,,
802,Tibula?,"Porto Longone, at Santa Teresa Gallura",Italy Sardinia,9.195259,41.237221,-30,1,Ro,0,http://pleiades.stoa.org/places/472034,http://imperium.ahlfeldt.se/places/32841,https://www.trismegistos.org/place/22245,
803,"Turublum Minus, Lamos?, Telepylos?, possible port of the Laestrygonians and stopover of Odysseus, near famous Arktou Akra Prom.","Porto Pozzo, ca. 12 km west of Capo d'Orso with famous Roccia dell' Orso landmark",Italy Sardinia,9.275693,41.199135,-1500,1,My|Ro,0,http://pleiades.stoa.org/places/472036,http://imperium.ahlfeldt.se/places/36481,,
804,Ilva insula,"Cala Gavetta, on Isla La Maddalena",Italy Sardinia,9.404022,41.212045,,0,Ro,0,http://pleiades.stoa.org/places/471952,http://imperium.ahlfeldt.se/places/41662,,
805,Elefantaria,"Cannigione, Golfo di Arzachena",Italy Sardinia,9.444,41.105,-30,1,Ro,0,http://pleiades.stoa.org/places/471916,http://imperium.ahlfeldt.se/places/36279,,
806,,Cala Bitta,Italy Sardinia,9.470911,41.125616,,0,,0,,,,
807,,Poltu Quatu,Italy Sardinia,9.495848,41.13583,,0,,0,,,,
808,,Porto Vecchio of Porto Cervo,Italy Sardinia,9.53626,41.133359,,0,,0,,,,
809,,Bay of Cugnana-Portisco,Italy Sardinia,9.523114,41.016495,,0,,0,,,,
810,,Porto Rotondo,Italy Sardinia,9.546367,41.029277,,0,,0,,,,
811,,"Roman Villa Eva, near Ventimiglia",Italy West,7.564,43.7902,-30,1,Ro,1,,,,
811.1,"Vintimilio plagia, Album Intermilium, Albintimilium","Ventimiglia, on R Nervia",Italy West,7.6252,43.7893,-550,1,Gr|Ro,1,http://pleiades.stoa.org/places/157802,http://imperium.ahlfeldt.se/places/8039,https://www.trismegistos.org/place/3705,https://topostext.org/place/43876UAlb
812,,"Roman villa at Foce, near Sanremo",Italy West,7.75954,43.80824,-30,1,Ro,1,http://pleiades.stoa.org/places/157924,http://imperium.ahlfeldt.se/places/18015,,
813,Matutia,"La Costa, Sanremo",Italy West,7.7807,43.8147,-30,1,Ro,0,http://pleiades.stoa.org/places/157837,http://imperium.ahlfeldt.se/places/17381,,
814,,"Roman villa di Bussana, near Sanremo",Italy West,7.83858,43.82099,-30,1,Ro,1,http://pleiades.stoa.org/places/157828,http://imperium.ahlfeldt.se/places/17380,,
815,"Costa Balenae, at the outlet of R Tavia ","Riva Ligure, on R Taggia",Italy West,7.869096,43.830374,,0,Ro,0,http://pleiades.stoa.org/places/157837,,,
816,"Portus Mauritii, Portu Maurici ","Porto Maurizio, near Imperia",Italy West,8.0207,43.8737,-30,1,Ro,0,http://pleiades.stoa.org/places/157908,http://imperium.ahlfeldt.se/places/17379,,
817,Lucus Bormani ,Diano Marina,Italy West,8.0859,43.9068,-30,1,Ro,0,http://pleiades.stoa.org/places/157879,http://imperium.ahlfeldt.se/places/17378,,
818,"Albingauno, Albenganum ","Albenga, on R Centa, with an anchorage at Isola Gallinaria",Italy West,8.2133,44.047,-550,1,Gr|Ro,1,http://pleiades.stoa.org/places/157803,http://imperium.ahlfeldt.se/places/10567,https://www.trismegistos.org/place/31683,https://topostext.org/place/440082UAlI
819,Pullopice,Finale Ligure,Italy West,8.342,44.164,-30,1,Ro,0,http://pleiades.stoa.org/places/157910,http://imperium.ahlfeldt.se/places/17179,,
820,Varicottis,Varigotti,Italy West,8.396,44.18,300,0,Ro,0,,http://imperium.ahlfeldt.se/places/44322,,
821,"Vada Sabatia, Vadis Savadis",Vado Ligure,Italy West,8.4359,44.2693,-100,1,Ro,1,http://pleiades.stoa.org/places/383808,http://imperium.ahlfeldt.se/places/17178,https://www.trismegistos.org/place/31860,
822,Insula Liguriae,"Isola di Bergeggi with ancient lighthouse, near Vado Ligure",Italy West,8.44476,44.2342,250,0,Ro,0,,,,
823,"Savo, Vicus Virginis? ","Savona, on R Letimbro",Italy West,8.479161,44.296439,-330,1,Ro,0,http://pleiades.stoa.org/places/383770,http://imperium.ahlfeldt.se/places/10568,https://www.trismegistos.org/place/31864,
824,Alba Docilia ,Roman villa at Albissola,Italy West,8.51187,44.33385,-30,1,Ro,2,http://pleiades.stoa.org/places/383563,http://imperium.ahlfeldt.se/places/17180,https://www.trismegistos.org/place/41056,
825,,"San Donato, near Varazze",Italy West,8.57134,44.36806,300,0,Ro,0,,http://imperium.ahlfeldt.se/places/44323,,
826,Ad Navalia ,Cogoleto,Italy West,8.633105,44.37737,-30,1,Ro,3,http://pleiades.stoa.org/places/383551,http://imperium.ahlfeldt.se/places/17181,,
827,Hasta ,Voltri,Italy West,8.744872,44.422373,-30,1,Ro,0,http://pleiades.stoa.org/places/383670,http://imperium.ahlfeldt.se/places/17182,,
828,Sestri Ponente ,"Sestri Ponente, on R Polcevera",Italy West,8.867501,44.395427,-30,1,Ro,2,,http://imperium.ahlfeldt.se/places/17183,,
829,Genua,"Piazza Caricamento, Roman port of Genoa",Italy West,8.9284,44.411,-600,1,Gr|Ro,2,http://pleiades.stoa.org/places/383664,http://imperium.ahlfeldt.se/places/10569,https://www.trismegistos.org/place/14373,https://topostext.org/place/44489UGen
830,"archaic landing place of Genua, Etruscan Cainua?","Piazza Brignole, on R Bisagno",Italy West,8.94388,44.409,-1000,1,Ro,0,,,,
831,Ricina ,Recco,Italy West,9.140469,44.358043,300,0,Ro,0,http://pleiades.stoa.org/places/383758,http://imperium.ahlfeldt.se/places/23137,https://www.trismegistos.org/place/31777,
832,Delphinis ,Camogli,Italy West,9.1526,44.349,-30,1,Ro,0,http://pleiades.stoa.org/places/383632,http://imperium.ahlfeldt.se/places/17184,,
833,"Portu Delphini, Port du Dauphin ",Portofino,Italy West,9.211589,44.302575,-30,1,Ro,0,http://pleiades.stoa.org/places/383750,http://imperium.ahlfeldt.se/places/17185,,
834,Ad Solaria ,Chiavari,Italy West,9.310881,44.309698,300,0,Ro,0,http://pleiades.stoa.org/places/383555,http://imperium.ahlfeldt.se/places/17186,,
835,Tegulata ,Lavagna,Italy West,9.338812,44.299149,-30,1,Ro,0,http://pleiades.stoa.org/places/383795,http://imperium.ahlfeldt.se/places/10578,,
836,"Segesta, Tigulliorum ",Sestri Levante,Italy West,9.389291,44.273009,-30,1,Ro,0,http://pleiades.stoa.org/places/383775,http://imperium.ahlfeldt.se/places/17187,,
837,Ad Monilia ,Moneglia,Italy West,9.484384,44.234533,-30,1,Ro,0,http://pleiades.stoa.org/places/383550,http://imperium.ahlfeldt.se/places/17188,,
838,Antion ,Framura,Italy West,9.546199,44.202859,-550,1,Gr|Ro,0,http://pleiades.stoa.org/places/383572,http://imperium.ahlfeldt.se/places/17189,,
839,Portus Veneris ,"Portovenere, the Genoese rampart is built on top of the Roman quay, the lighthouse is on isola del Tino",Italy West,9.833473,44.049041,-30,1,Ro,1,http://pleiades.stoa.org/places/403262,http://imperium.ahlfeldt.se/places/17206,,
840,,"Roman villa del Varignano Vecchio, near Le Gracie, La Spezia",Italy West,9.841662,44.063586,-100,1,Ro,1,,http://imperium.ahlfeldt.se/places/42387,,
841,,San Vito di Marola (ancient site destroyed by Italian Navy in 19th c.),Italy West,9.8175,44.0914,,0,Ro,0,,,,
842,"Erix, Portus Ericis, Erycis, Portus Illycis, Pullion ","Lerici, Pugliola",Italy West,9.904603,44.077808,300,0,Ro,0,http://pleiades.stoa.org/places/403265,http://imperium.ahlfeldt.se/places/17207,,
843,,"Roman villa di Bocca di Magra, Ameglia",Italy West,9.984691,44.046073,50,0,Ro,1,http://pleiades.stoa.org/places/403176,http://imperium.ahlfeldt.se/places/42322,,
844,"Portus Lunae, Lune, Selene, Etruscan Luna, near R Macra  (export of white marble)","Luni Antica, on former coastal lagoon in between R Magra and R Parmignola, near Carrara (Etruscan Carhara, Carhaira)",Italy West,10.0152,44.0608,-330,1,Ro,1,http://pleiades.stoa.org/places/403235,http://imperium.ahlfeldt.se/places/5854,https://www.trismegistos.org/place/31016,https://topostext.org/place/441100ULun
845,Taberna Frigida ,Massa,Italy West,10.099174,43.998373,300,0,Ro,0,http://pleiades.stoa.org/places/403279,http://imperium.ahlfeldt.se/places/10591,https://www.trismegistos.org/place/41079,
846,Fossae Papirianae,"R Versilia, near Forte dei Marni & Pietrasanta",Italy West,10.16,43.951,-30,1,Ro,0,http://pleiades.stoa.org/places/403208,http://imperium.ahlfeldt.se/places/17194,,
847,,"San Rocchino, near Massarosa",Italy West,10.28083,43.87307,-750,1,Gr|Ro,0,http://pleiades.stoa.org/places/403274,http://imperium.ahlfeldt.se/places/17210,,
848,,Roman villa at Massaciuccoli,Italy West,10.3602,43.83659,-330,1,Ro,1,http://pleiades.stoa.org/places/403241,http://imperium.ahlfeldt.se/places/35741,https://www.trismegistos.org/place/31999,
849,,"Isola del Migliarino, near R Serchio",Italy West,10.32724,43.76764,-750,1,Gr|Ro,0,http://pleiades.stoa.org/places/403225,http://imperium.ahlfeldt.se/places/33586,,
850,,"Porto delle Conche, near R Serchio",Italy West,10.33555,43.73476,-750,1,Gr|Ro,0,http://pleiades.stoa.org/places/403258,http://imperium.ahlfeldt.se/places/33588,,
851,"Port of Pise, Pisa, Etruscan Pisna, Peithusa, Pithsa, on ancient R Auser, near R Arnus","Stazione Ferroviaria Pisa-San Rossore, near Pisa, near R Arno, with Neolithic settlement",Italy West,10.3862,43.7211,-550,1,Li|Gr|Ro,1,http://pleiades.stoa.org/places/403253,http://imperium.ahlfeldt.se/places/10595,https://www.trismegistos.org/place/11855,https://topostext.org/place/437104UPis
852,,"Roman villa at San Piero a Grado, near Pisa on R Arno",Italy West,10.346,43.68,-30,1,Ro,1,http://pleiades.stoa.org/places/409239,http://imperium.ahlfeldt.se/places/22570,,
853,,"Isola di Coltano, with Neolithic settlement",Italy West,10.3934,43.6386,-5000,1,Li|Ro,1,,,,
854,"Triturrita? Turrita? Near Portus Pisanus, Pisarum emporio, Liburnus Portus, Portus Herculis Liburni, Portus Labro, Etruscan Liburna","Santo Stefano ai Lupi, Livorno. This port was connected to the city of Pisa by a series of marshes. A lighthouse was on the Secche della Meloria. Neolithic settlement at Querciolaia",Italy West,10.3343,43.5733,-5000,1,Li|Ro,3,http://pleiades.stoa.org/places/403261,,,
855,,Castiglioncello ,Italy West,10.4182,43.4022,-330,1,Ro,0,http://pleiades.stoa.org/places/403195,http://imperium.ahlfeldt.se/places/18712,,
856,"Vadis, Vada Volaterrana ","San Gaetano di Vada, near Vada Volterra",Italy West,10.44801,43.35981,-330,1,Ro,0,http://pleiades.stoa.org/places/403270,http://imperium.ahlfeldt.se/places/33589,,
857,"Caecina, Etruscan Ceicna, Caicni","Roman villa di San Vincenzino, at Cecina, on R Cecina",Italy West,10.5106,43.3099,-30,1,Ro,1,http://pleiades.stoa.org/places/403275,http://imperium.ahlfeldt.se/places/26499,,
858,Caprasia insula,Isle of Capraia,Italy West,9.838895,43.050537,,0,Ro,0,http://pleiades.stoa.org/places/403193,http://imperium.ahlfeldt.se/places/41263,,
858.1,,"San Vincenzo, Neolithic settlement",Italy West,10.531,43.099,-5000,1,Li|Ro,0,,,,
858.2,,"Roman villa at Villa del Barone, Poggio del Molino",Italy West,10.5129,43.0124,50,0,Ro,1,,,,
