country,sitename,province,locname,longitude,latitude,recs,presses,post_0,ante_0,post_1,ante_1,site_id,n_dated_phases
Italy,Blera,Italia,Pian della Noce,12.03333333,42.2833333,1,2,-100.0,1.0,300.0,400.0,press_000,2
Italy,Boscoreale,Italia,Villa Pisanella,14.477606,40.766229,1,2,-100.0,-50.0,79.0,79.0,press_001,2
Italy,Cerveteri,Italia,Villa del Seccareccio,12.1,42.0,1,2,-100.0,200.0,-100.0,200.0,press_002,2
Italy,Cesena di Senigallia,Italia,none,13.21666667,43.7166666,1,2,-50.0,1.0,25.0,75.0,press_003,2
Italy,Cosa,Italia,Settefinestre,11.31694444,42.4466666,1,4,-999.0,999.0,-999.0,999.0,press_004,0
Italy,Cosa,Italia,Via della Fattoria,11.28444444,42.4172222,1,4,-999.0,999.0,-999.0,999.0,press_005,0
Italy,Fiano Romano,Italia,Fondo Nocioni-Gigliotti,12.580671,42.134065,1,2,-999.0,999.0,-999.0,999.0,press_006,0
Italy,Fiano Romano,Italia,"Villa ""della Standa""",12.592762,42.150051,1,2,-999.0,999.0,-999.0,999.0,press_007,0
Italy,Fiano Romano,Italia,Villa dei Volusii,12.600822,42.133263,1,2,-999.0,999.0,-999.0,999.0,press_008,0
Italy,Gragnano,Italia,Casa Miri,14.51666667,40.6833333,1,2,-999.0,999.0,-999.0,999.0,press_009,0
Italy,Grottarossa,Italia,Saxa Rubra,12.49194444,41.965,1,2,-200.0,-1.0,-999.0,999.0,press_010,1
Italy,Licenza,Italia,Prato la Corte,12.91666667,42.0833333,1,2,1.0,9999.0,-999.0,999.0,press_011,0
Italy,Melfi,Italia,Contrada Leonessa,15.603985,41.07704,1,4,-999.0,999.0,-999.0,999.0,press_012,0
Italy,Ordona,Italia,Posta Crusta,15.61666667,41.3166666,1,2,-999.0,999.0,-999.0,999.0,press_013,0
Italy,Osimo,Italia,Monte Torto,13.45369,43.488981,1,5,-50.0,-1.0,100.0,200.0,press_014,2
Italy,Pompeii,Italia,Villa of the Mysteries,14.477484,40.753552,1,2,-80.0,-70.0,79.0,79.0,press_015,2
Italy,Rome,Italia,Via Togliatti,12.49194444,41.8838888,1,2,-999.0,999.0,-999.0,999.0,press_016,0
Italy,Rossano,Italia,Ciminata,16.617348,39.603214,1,2,-75.0,-25.0,25.0,75.0,press_017,2
Italy,S. Sebastiano al Vesuvio,Italia,none,14.36666667,40.85,1,2,-100.0,79.0,-100.0,79.0,press_018,2
Italy,Sperlonga,Italia,Villa Prato,13.426529,41.267609,1,2,-150.0,-100.0,-60.0,-40.0,press_019,2
Italy,Tivoli,Italia,Casale S. Angelo,12.825122,41.923932,1,2,-200.0,9999.0,-999.0,999.0,press_020,0
Italy,Tivoli,Italia,Granaraccio,12.740419,41.918429,1,4,-999.0,999.0,-999.0,999.0,press_021,0
Italy,Tomba di Nerone,Italia,Casale Ghella,12.43472222,41.9752777,1,2,-999.0,999.0,-999.0,999.0,press_022,0
Italy,Val Melaina,Italia,Vigne Nuove,12.52805556,41.9683333,1,3,-100.0,-27.0,200.0,300.0,press_023,2
Italy,Varignano,Italia,none,9.85194444,44.0883333,1,2,-100.0,-50.0,500.0,600.0,press_024,2
