wreck_id,sitename,locname,longitude,latitude,wreckage_after,wreckage_before,bin_start_year,bin_end_year,weight
oxrep_loc_840,Ancona,Ancona 2,13.60656,43.81418,-200.0,-175.0,-200,-175,1.0
oxrep_loc_2029,Ancona,Ancona,13.60656,43.81418,-150.0,-25.0,-150,-125,0.2
oxrep_loc_2029,Ancona,Ancona,13.60656,43.81418,-150.0,-25.0,-125,-100,0.2
oxrep_loc_2029,Ancona,Ancona,13.60656,43.81418,-150.0,-25.0,-100,-75,0.2
oxrep_loc_2029,Ancona,Ancona,13.60656,43.81418,-150.0,-25.0,-75,-50,0.2
oxrep_loc_2029,Ancona,Ancona,13.60656,43.81418,-150.0,-25.0,-50,-25,0.2
oxrep_loc_2059,Grado,Grado (2000),13.33333,45.71666,-300.0,-200.0,-300,-275,0.25
oxrep_loc_2059,Grado,Grado (2000),13.33333,45.71666,-300.0,-200.0,-275,-250,0.25
oxrep_loc_2059,Grado,Grado (2000),13.33333,45.71666,-300.0,-200.0,-250,-225,0.25
oxrep_loc_2059,Grado,Grado (2000),13.33333,45.71666,-300.0,-200.0,-225,-200,0.25
oxrep_loc_2189,Ancona,Ancona 3,13.60656,43.81418,-300.0,-100.0,-300,-275,0.125
oxrep_loc_2189,Ancona,Ancona 3,13.60656,43.81418,-300.0,-100.0,-275,-250,0.125
oxrep_loc_2189,Ancona,Ancona 3,13.60656,43.81418,-300.0,-100.0,-250,-225,0.125
oxrep_loc_2189,Ancona,Ancona 3,13.60656,43.81418,-300.0,-100.0,-225,-200,0.125
oxrep_loc_2189,Ancona,Ancona 3,13.60656,43.81418,-300.0,-100.0,-200,-175,0.125
oxrep_loc_2189,Ancona,Ancona 3,13.60656,43.81418,-300.0,-100.0,-175,-150,0.125
oxrep_loc_2189,Ancona,Ancona 3,13.60656,43.81418,-300.0,-100.0,-150,-125,0.125
oxrep_loc_2189,Ancona,Ancona 3,13.60656,43.81418,-300.0,-100.0,-125,-100,0.125
oxrep_loc_2294,Caorle,Caorle,12.95288,45.49646,-125.0,-75.0,-125,-100,0.5
oxrep_loc_2294,Caorle,Caorle,12.95288,45.49646,-125.0,-75.0,-100,-75,0.5
oxrep_loc_2540,Ancona,Ancona 1,13.60656,43.81418,-200.0,-50.0,-200,-175,0.166667
oxrep_loc_2540,Ancona,Ancona 1,13.60656,43.81418,-200.0,-50.0,-175,-150,0.166667
oxrep_loc_2540,Ancona,Ancona 1,13.60656,43.81418,-200.0,-50.0,-150,-125,0.166667
oxrep_loc_2540,Ancona,Ancona 1,13.60656,43.81418,-200.0,-50.0,-125,-100,0.166667
oxrep_loc_2540,Ancona,Ancona 1,13.60656,43.81418,-200.0,-50.0,-100,-75,0.166667
oxrep_loc_2540,Ancona,Ancona 1,13.60656,43.81418,-200.0,-50.0,-75,-50,0.166667
oxrep_loc_575,Capraia,Capraia Roman 2004,9.82366,43.07225,-300.0,400.0,-300,-275,0.035714
oxrep_loc_575,Capraia,Capraia Roman 2004,9.82366,43.07225,-300.0,400.0,-275,-250,0.035714
oxrep_loc_575,Capraia,Capraia Roman 2004,9.82366,43.07225,-300.0,400.0,-250,-225,0.035714
oxrep_loc_575,Capraia,Capraia Roman 2004,9.82366,43.07225,-300.0,400.0,-225,-200,0.035714
oxrep_loc_575,Capraia,Capraia Roman 2004,9.82366,43.07225,-300.0,400.0,-200,-175,0.035714
oxrep_loc_575,Capraia,Capraia Roman 2004,9.82366,43.07225,-300.0,400.0,-175,-150,0.035714
oxrep_loc_575,Capraia,Capraia Roman 2004,9.82366,43.07225,-300.0,400.0,-150,-125,0.035714
oxrep_loc_575,Capraia,Capraia Roman 2004,9.82366,43.07225,-300.0,400.0,-125,-100,0.035714
oxrep_loc_575,Capraia,Capraia Roman 2004,9.82366,43.07225,-300.0,400.0,-100,-75,0.035714
oxrep_loc_575,Capraia,Capraia Roman 2004,9.82366,43.07225,-300.0,400.0,-75,-50,0.035714
oxrep_loc_575,Capraia,Capraia Roman 2004,9.82366,43.07225,-300.0,400.0,-50,-25,0.035714
oxrep_loc_575,Capraia,Capraia Roman 2004,9.82366,43.07225,-300.0,400.0,-25,0,0.035714
oxrep_loc_592,Pisa,Pisa Hellenistic ship,10.38813,43.72388,-200.0,-175.0,-200,-175,1.0
oxrep_loc_631,Ponza,Ponza B,12.97,40.88,-175.0,-150.0,-175,-150,1.0
oxrep_loc_634,Bacoli,Marina Grande di Bacoli,14.08361,40.80325,-50.0,100.0,-50,-25,0.166667
oxrep_loc_634,Bacoli,Marina Grande di Bacoli,14.08361,40.80325,-50.0,100.0,-25,0,0.166667
oxrep_loc_789,Pisa,Pisa B,10.38813,43.72388,-12.0,15.0,-25,0,0.444444
oxrep_loc_822,Bacoli,Bacoli A,14.08361,40.80325,-50.0,100.0,-50,-25,0.166667
oxrep_loc_822,Bacoli,Bacoli A,14.08361,40.80325,-50.0,100.0,-25,0,0.166667
oxrep_loc_848,Pozzino,Pozzino,10.5,43.0,-140.0,-120.0,-150,-125,0.75
oxrep_loc_848,Pozzino,Pozzino,10.5,43.0,-140.0,-120.0,-125,-100,0.25
oxrep_loc_919,Bacoli,Bacoli C,14.08361,40.80325,-500.0,-300.0,-500,-475,0.125
oxrep_loc_919,Bacoli,Bacoli C,14.08361,40.80325,-500.0,-300.0,-475,-450,0.125
oxrep_loc_919,Bacoli,Bacoli C,14.08361,40.80325,-500.0,-300.0,-450,-425,0.125
oxrep_loc_919,Bacoli,Bacoli C,14.08361,40.80325,-500.0,-300.0,-425,-400,0.125
oxrep_loc_919,Bacoli,Bacoli C,14.08361,40.80325,-500.0,-300.0,-400,-375,0.125
oxrep_loc_919,Bacoli,Bacoli C,14.08361,40.80325,-500.0,-300.0,-375,-350,0.125
oxrep_loc_919,Bacoli,Bacoli C,14.08361,40.80325,-500.0,-300.0,-350,-325,0.125
oxrep_loc_919,Bacoli,Bacoli C,14.08361,40.80325,-500.0,-300.0,-325,-300,0.125
oxrep_loc_940,Pisa,Pisa C,10.38813,43.72388,-50.0,-1.0,-50,-25,0.510204
oxrep_loc_940,Pisa,Pisa C,10.38813,43.72388,-50.0,-1.0,-25,0,0.489796
oxrep_loc_1019,Olbia (Sardinia),Olbia A,9.50738,40.91148,-200.0,-1.0,-200,-175,0.125628
oxrep_loc_1019,Olbia (Sardinia),Olbia A,9.50738,40.91148,-200.0,-1.0,-175,-150,0.125628
oxrep_loc_1019,Olbia (Sardinia),Olbia A,9.50738,40.91148,-200.0,-1.0,-150,-125,0.125628
oxrep_loc_1019,Olbia (Sardinia),Olbia A,9.50738,40.91148,-200.0,-1.0,-125,-100,0.125628
oxrep_loc_1019,Olbia (Sardinia),Olbia A,9.50738,40.91148,-200.0,-1.0,-100,-75,0.125628
oxrep_loc_1019,Olbia (Sardinia),Olbia A,9.50738,40.91148,-200.0,-1.0,-75,-50,0.125628
oxrep_loc_1019,Olbia (Sardinia),Olbia A,9.50738,40.91148,-200.0,-1.0,-50,-25,0.125628
oxrep_loc_1019,Olbia (Sardinia),Olbia A,9.50738,40.91148,-200.0,-1.0,-25,0,0.120603
oxrep_loc_1022,Le Grotticelle,Le Grotticelle,13.433333333333334,40.78333333333333,-75.0,-25.0,-75,-50,0.5
oxrep_loc_1022,Le Grotticelle,Le Grotticelle,13.433333333333334,40.78333333333333,-75.0,-25.0,-50,-25,0.5
oxrep_loc_1079,Pisa,Pisa H,10.38813,43.72388,-150.0,400.0,-150,-125,0.045455
oxrep_loc_1079,Pisa,Pisa H,10.38813,43.72388,-150.0,400.0,-125,-100,0.045455
oxrep_loc_1079,Pisa,Pisa H,10.38813,43.72388,-150.0,400.0,-100,-75,0.045455
oxrep_loc_1079,Pisa,Pisa H,10.38813,43.72388,-150.0,400.0,-75,-50,0.045455
oxrep_loc_1079,Pisa,Pisa H,10.38813,43.72388,-150.0,400.0,-50,-25,0.045455
oxrep_loc_1079,Pisa,Pisa H,10.38813,43.72388,-150.0,400.0,-25,0,0.045455
