loc_id,site_id,country,sea_area,sitename,locname,depth_m,wreckage_after,wreckage_before,dated,in_window,latitude,longitude,coord_source,has_coords
840,1857,Italy,Adriatic,Ancona,Ancona 2,-70.0,-200.0,-175.0,True,True,43.81418,13.60656,oxrep_popup,True
1047,1305,Italy,Adriatic,Classe (Ravenna),Ravenna,-8.0,400.0,500.0,True,False,,,,False
1109,1554,Italy,Adriatic,Ostuni,Ostuni,,1100.0,1300.0,False,False,,,,False
1940,1674,Italy,Adriatic,Brindisi,Brindisi,,1100.0,1200.0,False,False,,,,False
2029,1857,Italy,Adriatic,Ancona,Ancona,,-150.0,-25.0,True,True,43.81418,13.60656,oxrep_popup,True
2059,1905,Italy,Adriatic,Grado,Grado (2000),0.0,-300.0,-200.0,True,True,45.71666,13.33333,oxrep_popup,True
2189,1857,Italy,Adriatic,Ancona,Ancona 3,-70.0,-300.0,-100.0,True,True,43.81418,13.60656,oxrep_popup,True
2293,1166,Italy,Adriatic,Bari,Bari,,,,False,False,,,,False
2294,1808,Italy,Adriatic,Caorle,Caorle,-30.0,-125.0,-75.0,True,True,45.49646,12.95288,oxrep_popup,True
2517,1905,Italy,Adriatic,Grado,Grado (Julia Felix),-15.0,117.0,150.0,True,False,,,,False
2540,1857,Italy,Adriatic,Ancona,Ancona 1,-70.0,-200.0,-50.0,True,True,43.81418,13.60656,oxrep_popup,True
520,1412,Italy,Tyrrhenian Sea,Fiumicino,Fiumicino 1 (Natante 2),0.0,300.0,500.0,True,False,,,,False
547,1412,Italy,Tyrrhenian Sea,Fiumicino,Fiumicino B,,300.0,400.0,True,False,,,,False
551,1093,Italy,Tyrrhenian Sea,Golfo di Follonica,Golfo di Follonica,0.0,-250.0,-25.0,True,True,,,,False
575,881,Italy,Tyrrhenian Sea,Capraia,Capraia Roman 2004,-35.0,-300.0,400.0,True,True,43.07225,9.82366,oxrep_popup,True
592,1746,Italy,Tyrrhenian Sea,Pisa,Pisa Hellenistic ship,0.0,-200.0,-175.0,True,True,43.72388,10.38813,oxrep_popup,True
631,258,Italy,Tyrrhenian Sea,Ponza,Ponza B,,-175.0,-150.0,True,True,40.88,12.97,oxrep_popup,True
634,1253,Italy,Tyrrhenian Sea,Bacoli,Marina Grande di Bacoli,0.0,-50.0,100.0,True,True,40.80325,14.08361,oxrep_popup,True
650,1421,Italy,Tyrrhenian Sea,Olbia (Sardinia),Olbia Roman Imperial,0.0,60.0,70.0,True,False,,,,False
701,242,Italy,Tyrrhenian Sea,Anzio,Anzio,,,,False,False,,,,False
712,1872,Italy,Tyrrhenian Sea,Golfo di Pozzuoli,Golfo di Pozzuoli (Le Crastole),0.0,1.0,300.0,True,False,,,,False
759,258,Italy,Tyrrhenian Sea,Ponza,Ponza Porto,-7.0,1.0,200.0,True,False,,,,False
771,1421,Italy,Tyrrhenian Sea,Olbia (Sardinia),Olbia Late Roman 2,0.0,400.0,500.0,True,False,,,,False
789,1746,Italy,Tyrrhenian Sea,Pisa,Pisa B,0.0,-12.0,15.0,True,True,43.72388,10.38813,oxrep_popup,True
822,1253,Italy,Tyrrhenian Sea,Bacoli,Bacoli A,,-50.0,100.0,True,True,40.80325,14.08361,oxrep_popup,True
824,1412,Italy,Tyrrhenian Sea,Fiumicino,Fiumicino H,,101.0,300.0,True,False,,,,False
848,2045,Italy,Tyrrhenian Sea,Pozzino,Pozzino,,-140.0,-120.0,True,True,43.0,10.5,v01_geocoded,True
871,1833,Italy,Tyrrhenian Sea,Genoa,Genoa,,-130.0,-110.0,True,True,,,,False
884,695,Italy,Tyrrhenian Sea,Tiber estuary (Ostia),Ostia,,-50.0,50.0,True,True,,,,False
912,852,Italy,Tyrrhenian Sea,Punta Mazza,Punta Mazza,-27.0,200.0,250.0,True,False,,,,False
919,1253,Italy,Tyrrhenian Sea,Bacoli,Bacoli C,,-500.0,-300.0,True,True,40.80325,14.08361,oxrep_popup,True
937,1746,Italy,Tyrrhenian Sea,Pisa,Pisa F,0.0,100.0,150.0,True,False,,,,False
940,1746,Italy,Tyrrhenian Sea,Pisa,Pisa C,0.0,-50.0,-1.0,True,True,43.72388,10.38813,oxrep_popup,True
1019,1421,Italy,Tyrrhenian Sea,Olbia (Sardinia),Olbia A,,-200.0,-1.0,True,True,40.91148,9.50738,oxrep_popup,True
1022,1233,Italy,Tyrrhenian Sea,Le Grotticelle,Le Grotticelle,-45.0,-75.0,-25.0,True,True,40.78333333333333,13.433333333333334,v01_geocoded,True
1031,1805,Italy,Tyrrhenian Sea,Maratea,Maratea A,,25.0,75.0,True,False,,,,False
1051,1551,Italy,Tyrrhenian Sea,Ladispoli,Ladispoli B,,25.0,100.0,True,False,,,,False
1054,1412,Italy,Tyrrhenian Sea,Fiumicino,Fiumicino G,,200.0,400.0,True,False,,,,False
1058,1412,Italy,Tyrrhenian Sea,Fiumicino,Fiumicino M,,42.0,66.0,True,False,,,,False
1060,881,Italy,Tyrrhenian Sea,Capraia,Capraia E,,1000.0,1500.0,False,False,,,,False
1063,1236,Italy,Tyrrhenian Sea,Porto Ercole,Porto Ercole B,,-150.0,-100.0,True,True,,,,False
1079,1746,Italy,Tyrrhenian Sea,Pisa,Pisa H,0.0,-150.0,400.0,True,True,43.72388,10.38813,oxrep_popup,True
1082,1746,Italy,Tyrrhenian Sea,Pisa,Pisa G,0.0,-150.0,400.0,True,True,43.72388,10.38813,oxrep_popup,True
1083,258,Italy,Tyrrhenian Sea,Ponza,Ponza C,,-100.0,-1.0,True,True,40.88,12.97,oxrep_popup,True
1119,1253,Italy,Tyrrhenian Sea,Bacoli,Bacoli B,,100.0,200.0,True,False,,,,False
1123,1447,Italy,Tyrrhenian Sea,Le Formiche di Grosseto,Le Formiche di Grosseto B,,-150.0,400.0,True,True,,,,False
1164,1658,Italy,Tyrrhenian Sea,Napoli,Napoli,,200.0,250.0,True,False,,,,False
1183,881,Italy,Tyrrhenian Sea,Capraia,Capraia D,,1.0,400.0,True,False,,,,False
1216,1223,Italy,Tyrrhenian Sea,Ischia,Ischia,0.0,-300.0,300.0,True,True,40.72571,13.96164,oxrep_popup,True
1243,1447,Italy,Tyrrhenian Sea,Le Formiche di Grosseto,Le Formiche di Grosseto C,,-150.0,400.0,True,True,,,,False
1250,881,Italy,Tyrrhenian Sea,Capraia,Capraia Etruscan 2004,-35.0,-600.0,-300.0,True,True,43.07225,9.82366,oxrep_popup,True
1254,1481,Italy,Tyrrhenian Sea,Salerno,Salerno,,,,False,False,,,,False
1291,1820,Italy,Tyrrhenian Sea,Albenga,Albenga,-42.0,-100.0,-80.0,True,True,44.04255,8.22876,oxrep_popup,True
1348,1421,Italy,Tyrrhenian Sea,Olbia (Sardinia),Olbia medieval,0.0,1000.0,1500.0,False,False,,,,False
1441,1567,Italy,Tyrrhenian Sea,Sinuessa,Sinuessa B,,-50.0,-1.0,True,True,,,,False
1502,1412,Italy,Tyrrhenian Sea,Fiumicino,Fiumicino D,,200.0,400.0,True,False,,,,False
1516,1551,Italy,Tyrrhenian Sea,Ladispoli,Ladispoli A,-12.0,1.0,15.0,True,False,,,,False
1522,1746,Italy,Tyrrhenian Sea,Pisa,Pisa D,0.0,400.0,600.0,True,False,,,,False
1528,1115,Italy,Tyrrhenian Sea,Agropoli,Agropoli,,-150.0,400.0,True,True,40.333333333333336,14.966666666666669,v01_geocoded,True
1599,725,Italy,Tyrrhenian Sea,Cefalu,Cefalu,,400.0,600.0,True,False,,,,False
1631,1412,Italy,Tyrrhenian Sea,Fiumicino,Fiumicino L,,42.0,66.0,True,False,,,,False
1662,1236,Italy,Tyrrhenian Sea,Porto Ercole,Porto Ercole A,,-150.0,-100.0,True,True,42.38333333333333,11.2,v01_geocoded,True
1665,566,Italy,Tyrrhenian Sea,Secca Del Bagno,Secca Del Bagno,-60.0,-200.0,-180.0,True,True,38.46666666666667,14.883333333333333,v01_geocoded,True
1679,1364,Italy,Tyrrhenian Sea,Circeo,Circeo D,,-25.0,25.0,True,True,,,,False
1691,1364,Italy,Tyrrhenian Sea,Circeo,Circeo E,,200.0,325.0,True,False,,,,False
1693,1192,Italy,Tyrrhenian Sea,Pigne (Salerno),Pigne (Salerno),0.0,1000.0,1500.0,False,False,,,,False
1717,1746,Italy,Tyrrhenian Sea,Pisa,Pisa E,0.0,-30.0,-1.0,True,True,43.72388,10.38813,oxrep_popup,True
1739,1412,Italy,Tyrrhenian Sea,Fiumicino,Fiumicino E,,101.0,300.0,True,False,,,,False
1747,1805,Italy,Tyrrhenian Sea,Maratea,Maratea B,,25.0,260.0,True,False,,,,False
1777,881,Italy,Tyrrhenian Sea,Capraia,Capraia C,,,,False,False,,,,False
1804,1567,Italy,Tyrrhenian Sea,Sinuessa,Sinuessa A,,-300.0,-200.0,True,True,,,,False
1828,1840,Italy,Tyrrhenian Sea,La Maddalena,La Maddalena,,200.0,300.0,True,False,,,,False
1842,2013,Italy,Tyrrhenian Sea,Santa Maria,Santa Maria,,200.0,300.0,True,False,,,,False
1860,414,Italy,Tyrrhenian Sea,Elba,Elba,-200.0,25.0,75.0,True,False,,,,False
